gene,Patient_AKI7,Patient_AKI1,Patient_AKI2,Patient_AKI3,Patient_AKI4,Patient_AKI5,Patient_AKI11,Patient_AKI12,Patient_AKI6,Patient_AKI9,Patient_AKI10,Patient_AKI8,Patient_AKI13,Patient_AKI14,Patient_AKI15,Patient_AKI16,Patient_AKI17,Patient_AKI18,Patient_AKI19,Patient_AKI20,Patient_AKI21,Patient_AKI22,Patient_AKI23,Patient_AKI24,Patient_AKI25,Patient_AKI26,Patient_AKI27,Patient_AKI28,Patient_AKI29,Patient_AKI30,Patient_AKI31,Patient_AKI32,Patient_AKI33,Patient_AKI34,Patient_AKI35,Patient_AKI36,Patient_AKI37,Patient_AKI38,Patient_AKI39
MALAT1,1019520.813,1019520.813,1019520.813,1019520.813,1019520.813,1019520.813,61716.91667,1019520.813,417663.0625,1019520.813,1019520.813,417663.0625,80533.70833,114659.1875,80533.70833,145621,44085.04167,44085.04167,61716.91667,44085.04167,61716.91667,37030.20833,44085.04167,259236.6667,145621,61716.91667,80533.70833,61716.91667,23099.91667,80533.70833,61716.91667,23099.91667,61716.91667,44085.04167,37030.20833,44085.04167,259236.6667,80533.70833,61716.91667
LINC01000,2250.208333,2361.375,1837.3125,1293.1875,1775.1875,1105.1875,445.375,1438.5,1584.604167,2190.291667,1454.708333,2696.833333,8040.645833,10217.97917,12653.08333,13996.54167,19781.52083,10504.4375,19781.52083,19104.27083,15062.89583,23099.91667,19781.52083,8433.895833,4864.0625,26228.10417,15717.4375,21926.9375,21926.9375,37030.20833,21926.9375,20992.25,21926.9375,26228.10417,28736.02083,18211.3125,4435.395833,9691.770833,15062.89583
SNORD3D,207.3958333,3486.854167,1066.895833,1125.895833,964.0625,4828.75,120.8333333,2160.4375,997.4583333,497.8333333,249.3333333,3788.458333,13006.22917,13006.22917,15062.89583,4401.041667,26228.10417,23099.91667,33189.35417,37030.20833,23099.91667,28736.02083,28736.02083,5273.104167,9876.708333,28736.02083,12231.39583,12231.39583,19781.52083,9027.229167,15062.89583,16953.625,20992.25,19781.52083,11171.9375,19104.27083,10217.97917,19781.52083,21926.9375
ABLIM1,1423.020833,1071.270833,2946.625,2541.645833,2810.208333,3475.5,1935.645833,2431.854167,2576.5,1088.854167,2289.8125,1719.979167,1166.104167,484.6875,461.8125,1441.833333,0,1970.270833,424.5625,509.3958333,1369.729167,276.2708333,223.3541667,1040.708333,897.75,419.8125,701.2083333,581.0416667,265.875,644,267.1875,655.8541667,1144.145833,998.8333333,1282.416667,384.4583333,1223.541667,497.4791667,583.2708333
SNORD22,13.02083333,832,867.3541667,866.6041667,459,162.9166667,93.75,492.4375,309.7916667,130.75,244.8541667,464.2083333,4864.0625,5219.229167,6152.041667,1516.166667,8774.958333,8774.958333,4920.541667,10504.4375,9235.8125,5933.520833,5933.520833,2992.4375,2859.770833,8040.645833,4529.479167,7304.479167,12653.08333,2920.125,3902.333333,3123.25,6116.416667,10062.6875,2929.4375,6116.416667,2635.8125,5512.208333,5219.229167
SNORA21,58.5,3116.395833,1047.3125,1981.833333,1254.208333,502.1666667,81.33333333,1837.3125,870.6041667,328.875,321.3333333,1806.041667,15717.4375,10963.875,9876.708333,3547.3125,20992.25,13996.54167,3581.166667,8129.479167,7394.583333,9691.770833,9332.3125,5512.208333,6676.875,11927.25,6899.479167,8774.958333,8774.958333,6116.416667,7304.479167,5080.854167,13996.54167,15062.89583,3218.458333,13006.22917,5933.520833,10062.6875,10062.6875
LUC7L3,5034.75,5896.916667,3635.8125,6152.041667,6899.479167,4020.458333,2586.458333,7100.208333,8661.083333,9235.8125,4504.6875,13006.22917,9027.229167,14619.16667,16953.625,6676.875,13006.22917,19104.27083,8774.958333,20992.25,19781.52083,20992.25,16953.625,19781.52083,23099.91667,15717.4375,21926.9375,19104.27083,15062.89583,18211.3125,20992.25,15717.4375,19104.27083,19104.27083,21926.9375,26228.10417,15062.89583,23099.91667,26228.10417
UBE4A,358.7916667,698.5416667,931.8541667,727.875,804.7083333,497.2291667,629.625,648.7083333,473.9375,613.4791667,778.6666667,591.6666667,337.2083333,88.85416667,52.22916667,400.4583333,156.7916667,367.4583333,472.4166667,273.3958333,386.875,212.0416667,0,360.9791667,273.9583333,548.2083333,229.4166667,216.4791667,149.2083333,129.1666667,634.875,209.8333333,48.58333333,0,259.375,40.58333333,437,109.9375,423
TRIP12,1539.708333,2616.5,2269.9375,2245.354167,2311.583333,2426.208333,2008.166667,1933.5,1736.583333,1887.854167,2431.854167,1668.708333,1248.25,707.4583333,772.1875,1887.854167,693.1458333,692.6875,2183.291667,509.3958333,1353.6875,1457.645833,521.7916667,1022.145833,777.1041667,573.1458333,1332.479167,666.9583333,1117,1190.645833,967.9791667,1183.3125,911.3333333,183.7291667,932.5625,384.4583333,1531.375,1037.125,822.5416667
CHD3,3035.166667,3955.8125,2576.5,3999.041667,1588.833333,3394.5625,481.2291667,4265.8125,6004,5586.833333,3133.416667,6152.041667,3660.583333,5896.916667,6978.354167,6613.354167,6485.0625,6613.354167,7100.208333,15717.4375,13480.1875,15717.4375,13480.1875,14619.16667,15717.4375,9876.708333,8896.5625,10062.6875,8661.083333,9691.770833,15717.4375,12231.39583,11660.85417,10217.97917,13996.54167,14619.16667,9545.458333,12653.08333,10504.4375
