"","patient_aki7","patient_aki1","patient_aki2","patient_aki3","patient_aki4","patient_aki5","patient_aki11","patient_aki12","patient_aki6","patient_aki9","patient_aki10","patient_aki8","patient_aki13","patient_aki14","patient_aki15","patient_aki16","patient_aki17","patient_aki18","patient_aki19","patient_aki20","patient_aki21","patient_aki22","patient_aki23","patient_aki24","patient_aki25","patient_aki26","patient_aki27","patient_aki28","patient_aki29","patient_aki30","patient_aki31","patient_aki32","patient_aki33","patient_aki34","patient_aki35","patient_aki36","patient_aki37","patient_aki38","patient_aki39"
"MALAT1",19.9594612119374,19.9594612119374,19.9594612119374,19.9594612119374,19.9594612119374,19.9594612119374,15.9134017431336,19.9594612119374,18.6719834879794,19.9594612119374,19.9594612119374,18.6719834879794,16.2973230602156,16.8070050177792,16.2973230602156,17.1518688031414,15.4280343278249,15.4280343278249,15.9134017431336,15.4280343278249,15.9134017431336,15.1764540050314,15.4280343278249,17.9839158285129,17.1518688031414,15.9134017431336,16.2973230602156,15.9134017431336,14.4956624800663,16.2973230602156,15.9134017431336,14.4956624800663,15.9134017431336,15.4280343278249,15.1764540050314,15.4280343278249,17.9839158285129,16.2973230602156,15.9134017431336
"LINC01000",11.1364838585924,11.2060222789054,10.8441663199931,10.3378309326911,10.7945681698647,10.1113802293607,8.80211241858607,10.4913520735634,10.630816943736,11.0975658084833,10.5075056095076,11.397585508752,12.9732750835924,13.3189634642852,13.6273153810192,13.7728858544396,14.2719386558597,13.3588486239914,14.2719386558597,14.2216830885575,13.8788073081098,14.4956624800663,14.2719386558597,13.0421545366791,12.2482426236584,14.6788809141227,13.9401701923725,14.4204825007969,14.4204825007969,15.1764540050314,14.4204825007969,14.3576379094919,14.4204825007969,14.6788809141227,14.8106228847488,14.1526264990342,12.1151723789329,13.242693426629,13.8788073081098
"SNORD3D",7.7031826222015,11.7681240045521,10.0605552120774,10.1381384477677,9.91447856792769,12.2377327981342,6.92876509483656,11.0777754046138,9.9635584135424,8.96241406268054,7.96770659660101,11.8877759282713,13.6670260481044,13.6670260481044,13.8788073081098,12.1039570856139,14.6788809141227,14.4956624800663,15.018476403861,15.1764540050314,14.4956624800663,14.8106228847488,14.8106228847488,12.3647103503147,13.2699606543962,14.8106228847488,13.5784193765095,13.5784193765095,14.2719386558597,13.1402273241376,13.8788073081098,14.0493912549406,14.3576379094919,14.2719386558597,13.4477209171642,14.2216830885575,13.3189634642852,14.2719386558597,14.4204825007969
"ABLIM1",10.4757545373189,10.066453630828,11.5253372795656,11.3121148066356,11.4569746575723,11.7634198741921,10.919344427714,11.2484341278108,11.3317567122555,10.0899193860665,11.1616436654391,10.7490139178637,10.1887176156368,8.92388454638533,8.85428402017621,10.4946889430903,0,10.9449102866059,8.73322721785156,8.99547274124827,10.4207278316915,8.11515205401889,7.80963416773418,10.0247356799015,9.81177605532666,8.71703374949089,9.45575530695501,9.1849786250213,8.06002035450785,9.33315535031062,8.06709818574839,9.35942929193197,10.1613156202321,9.96554381540085,10.3257739085779,8.59043110804653,10.2580261494186,8.96138940006186,9.19049346176568
"SNORD22",3.80950019354617,9.70217268536555,9.7621397696895,9.76089317139601,8.84549005094438,7.35681874185075,6.56605403817109,8.9467235507476,8.27980401085702,7.04165915163721,7.9416589957223,8.86173312988531,12.2482426236584,12.3498974268667,12.5870840468371,10.5671638649383,13.0993409607089,13.0993409607089,12.2648945935075,13.3588486239914,13.1731793674931,12.5349158326822,12.5349158326822,11.5475874331786,11.4821882173681,12.9732750835924,12.1454479299217,12.8347631872847,13.6273153810192,11.5123083795706,11.9304909545442,11.6092941860707,12.5787068283432,13.2968714086678,11.5169003527096,12.5787068283432,11.3645792715121,12.4286764036509,12.3498974268667
"SNORA21",5.89481776330794,11.6061256382294,10.0338531303504,10.953347701634,10.2937111197878,8.97489254088804,6.36340473080511,10.8441663199931,9.76752928304252,8.36577563532627,8.33240957860649,10.8194140570966,13.9401701923725,13.4206017448753,13.2699606543962,11.7929173580967,14.3576379094919,13.7728858544396,11.806616747631,12.9891246642052,12.8524482302874,13.242693426629,13.1881734856935,12.4286764036509,12.7051733731862,13.5420947795387,12.7524808302996,13.0993409607089,13.0993409607089,12.5787068283432,12.8347631872847,12.3111392599029,13.7728858544396,13.8788073081098,11.6526022630546,13.6670260481044,12.5349158326822,13.2968714086678,13.2968714086678
"LUC7L3",12.2979909468467,12.5259897230409,11.8284588325911,12.5870840468371,12.7524808302996,11.9735030567774,11.3373199150969,12.7938488174066,13.0804983364866,13.1731793674931,12.1375315410152,13.6670260481044,13.1402273241376,13.8356721376669,14.0493912549406,12.7051733731862,13.6670260481044,14.2216830885575,13.0993409607089,14.3576379094919,14.2719386558597,14.3576379094919,14.0493912549406,14.2719386558597,14.4956624800663,13.9401701923725,14.4204825007969,14.2216830885575,13.8788073081098,14.1526264990342,14.3576379094919,13.9401701923725,14.2216830885575,14.2216830885575,14.4204825007969,14.6788809141227,13.8788073081098,14.4956624800663,14.6788809141227
"UBE4A",8.49101796182879,9.45026618076188,9.86550775164143,9.50952760742315,9.65411386692145,8.96066567024903,9.30063855399372,9.34364839939723,8.89159386243366,9.26322028807307,9.60671364569295,9.21107710818976,8.4017683973123,6.48951350006686,5.73414507519417,8.64910645034214,7.30187720546803,8.52535767275802,8.88696668702211,8.10011476413142,8.59944798152872,7.73499181019152,0,8.49976285679729,8.10306920151788,9.10120970586311,7.84810126460962,7.76473339515837,7.23082104308687,7.02421623779027,9.31259937886263,7.71995916863242,5.63178335737716,0,8.02444712404065,5.37793350450046,8.77478705960117,6.79360330927941,8.7279204545632
"TRIP12",10.589378059973,11.3539738218182,11.1490722858716,11.1333696900021,11.1752896381569,11.2450822283743,10.9723815300081,10.9177450134432,10.762866454569,10.8832956043515,11.2484341278108,10.7053803973709,10.2868465027359,9.46853919590443,9.59467450368991,10.8832956043515,9.43909498064223,9.43814207774365,11.092949795883,8.99547274124827,10.4037443729966,10.5104139163752,9.0300923345301,9.99879607740041,9.60381949501426,9.16527341841173,10.3809795704429,9.38361430113229,10.1267044728432,10.2187398032667,9.92032183743603,10.2098340942726,9.83341721859109,7.52926785973014,9.86660280078721,8.59043110804653,10.5815536788162,10.0197644528497,9.68569783404421
"CHD3",11.5680352727325,11.9501229871399,11.3317567122555,11.9657993127774,10.6346598160475,11.7294348720157,8.91357510197792,12.0589429990765,12.551948530593,12.4480732751231,11.6139812588115,12.5870840468371,11.8382519147882,12.5259897230409,12.7688778278056,12.691384581672,12.6631272103993,12.691384581672,12.7938488174066,13.9401701923725,13.7186599624865,13.9401701923725,13.7186599624865,13.8356721376669,13.9401701923725,13.2699606543962,13.1191944464936,13.2968714086678,13.0804983364866,13.242693426629,13.9401701923725,13.5784193765095,13.5095095668183,13.3189634642852,13.7728858544396,13.8356721376669,13.2207498876427,13.6273153810192,13.3588486239914
