"CellType","SigSamples"
"Epithelial cells",38
"Keratinocytes",38
"Melanocytes",38
"Sebocytes",38
"CD8+ naive T-cells",37
"CLP",37
"Mesangial cells",37
"NKT",37
"Th1 cells",37
"Tregs",37
"Macrophages M2",36
"Neurons",36
"Skeletal muscle",36
"mv Endothelial cells",36
"Class-switched memory B-cells",35
"Macrophages",35
"Eosinophils",34
"MSC",34
"Pericytes",34
"CD4+ memory T-cells",33
"CD8+ T-cells",32
"MPP",32
"Megakaryocytes",32
"ly Endothelial cells",32
"Basophils",31
"Osteoblast",31
"Tgd cells",29
"pro B-cells",29
"CD4+ T-cells",28
"Hepatocytes",26
"Adipocytes",25
"CD8+ Tem",25
"DC",25
"CD4+ Tcm",24
"Memory B-cells",23
"Neutrophils",23
"Smooth muscle",23
"Endothelial cells",21
"B-cells",20
"HSC",20
"Myocytes",20
"Preadipocytes",20
"pDC",20
"Mast cells",19
"CD4+ Tem",18
"Chondrocytes",15
"CMP",14
"Platelets",13
"Macrophages M1",11
"Plasma cells",11
"iDC",11
"cDC",10
"CD8+ Tcm",9
"GMP",9
"Th2 cells",9
"CD4+ naive T-cells",8
"NK cells",6
"Erythrocytes",5
"Fibroblasts",3
"Monocytes",3
"MEP",1
"naive B-cells",1
"Astrocytes",0
"aDC",0
