"","patient_aki7","patient_aki1","patient_aki2","patient_aki3","patient_aki4","patient_aki5","patient_aki11","patient_aki12","patient_aki6","patient_aki9","patient_aki10","patient_aki8","patient_aki13","patient_aki14","patient_aki15","patient_aki16","patient_aki17","patient_aki18","patient_aki19","patient_aki20","patient_aki21","patient_aki22","patient_aki23","patient_aki24","patient_aki25","patient_aki26","patient_aki27","patient_aki28","patient_aki29","patient_aki30","patient_aki31","patient_aki32","patient_aki33","patient_aki34","patient_aki35","patient_aki36","patient_aki37","patient_aki38","patient_aki39"
"aDC",4.10281152883811e-19,0.0655123935709644,3.63324130532029e-19,0,0.0197780327473831,4.25937070749786e-18,0,0,0.0300204204200118,0.1151635889031,0.0751992567732732,0.196058190112196,0.0717239862364977,0.079661717452892,0.0568726920606224,0.0638071447182512,0.0856845080672611,0.00695349074195354,0.0164910024850915,0.0473614916058315,0,0.0921500351606111,0.123560207928048,0.0862479501393388,0.0865925407814941,0,3.48357310890165e-18,1.88879575477543e-17,5.14406781101931e-19,0,0.0655828351279083,0.0753355732345665,0.0130443027600471,0.056522532661849,0,0.00306487155885064,0.190678180599973,0.0719872418943311,7.71385835594033e-18
"Adipocytes",0.41051012539151,0,0.0810947988996115,0.0774797474059551,0.113318981954826,0,0.186410002363665,0.00286556505655365,0,0.0900580076364434,0.0819546088806743,0.0429853321662821,0.116999102115452,0.0909101165743872,0.0813901907599837,0.0954586064345262,0.00477484808172214,0.275406815913801,0.0449951287874469,0.0141772926986859,2.19069468013331e-18,0.145873368912161,0.109619713973447,0.0404788833819753,0.0335173743293465,2.39963391858201e-17,4.55010130257778e-19,6.0548046579822e-18,0,0.213566468003597,0,0.0557928417266725,0,1.31919651894031e-17,0.12249385819078,0.140047279339093,0.0777614445805787,0.095022443761257,0.00441132514523442
"Astrocytes",0,0,3.03634519715831e-17,2.95013088463543e-17,4.54831845724774e-17,8.47282771460948e-17,4.14829360993786e-17,8.00171493195823e-17,1.73272305356558e-16,8.87465831098819e-18,3.39027843849279e-17,8.93531317081419e-18,7.42138970376953e-17,6.92469161866352e-17,2.23339643524841e-18,2.18839352324419e-17,1.02783789827328e-16,0,0,0,3.1296247971003e-17,0,0,0,1.83068557975951e-17,0,0,1.32309810851933e-17,0,1.75229161119647e-17,1.3945857593567e-17,1.7169160361256e-17,0,6.38732426978349e-18,0,7.62080925072702e-18,0,0,0
"B-cells",2.44381687615569e-18,0.0584763461594087,0,0.0925389681886808,1.34407196740693e-19,0.0359740250143773,0,0.0742985102095576,0.0533498619475317,0.0231921079533367,0.0335973051909025,0.156507953679503,1.29980805748221e-18,0,0,7.35922543350528e-19,8.16080429183518e-18,0,3.9331948951084e-19,0,0.00627137310746165,0.00192366787191906,0.134580192474635,0.120870290461347,0.060522116195023,0.0499939923648919,0,0.0383252455790928,2.91479769003185e-17,0.102362274203914,0.0313087359963865,9.33269624556215e-18,1.27637771470424e-18,0.106419228061726,0.105844203090248,0,0.147569457868732,5.82945728020269e-17,0.00484138682205283
"Basophils",0.0874990882935629,0.28373552952553,0.00882439235272692,1.2101376060483e-18,6.69159500504269e-18,0.250038045390173,0,1.6815751523473e-18,0.0685640097414241,1.33386529052973e-18,3.9828936693485e-19,1.24753161410784e-17,1.00552176166191e-17,0.501089755594988,0.433489096032547,0.0193047874874607,0.238436196601274,0.315486536792749,0.250712029757999,0.416830403721811,0.2724390461683,0.413790469709979,0.328958995917472,0.235235306239253,0.256672196368454,0.405778417566174,0.257201119491536,0.523489801277557,0.331350992260879,0.33639494877221,0.715399650376601,0.430143453444854,0.857361179556671,0.645866397930938,0.472438060404923,0.42024841305441,0.0413441279777397,0.503523321152975,0.561327976644652
"CD4+ memory T-cells",0.131394104434564,0.399368425201053,0.303176925460301,0.355878636141025,0.293295215022875,0.466604977258445,0.328576285087585,0.319512623515271,0.355443876883592,0.264327563712389,0.346029918134105,0.418191227653661,0.195682371191827,0.228831744892496,0.420828572448159,0.222584690749242,0.273414552376409,0.1380894776414,0.0847039990323776,3.70803360909098e-18,0.376038891791308,0.315965740735109,0.0157675871127432,0.176903578811364,0.197727741140443,0.0753677251393904,0.16352577441093,5.2482010681017e-18,0.0636250515366817,0.179219669265947,0.455814174809807,0.0761355033184861,0,0.161612341414701,0.296826766738419,9.23620512043918e-18,0.246067130016984,0.135798722597366,0
"CD4+ naive T-cells",5.42101086242752e-20,1.9984200695782e-18,9.79504964697903e-18,0.00262537892989633,5.03315712128463e-18,1.55697394147906e-19,4.22840068406325e-17,0,0.0696962678648899,0.0557077666212873,0.0686781960704423,0.25658606853009,4.38017153812273e-19,0,1.91395569546674e-18,0,0,3.65591461771995e-17,4.5417216815482e-17,8.42136718143556e-18,0,9.51575576850686e-18,0,0.140209393030042,0.0877026238472561,0,0,0,6.11205156791458e-17,0.00567159216736312,0,1.72469244390512e-17,0.0631748926706026,0,1.337951542435e-17,4.76728148039685e-18,0.219757196496441,7.67530481373728e-19,0
"CD4+ T-cells",0.0381232746182537,0.0680797838055642,0.138222604805082,0.115096767946416,0.149552570034544,0.124209897410041,0.0292995341540986,0.12518400783729,0.140829858509723,0.112146967431057,0.12087511099696,0.22503323968907,0.077015643193876,0.0105097145348973,0.0482162221922864,0.0518323256316089,6.30387280519359e-19,1.42808993404757e-17,0,0.0514681556009681,0.0904695197165876,0.0684872574512551,8.45838135534857e-18,0.146705726366392,0.105856359678066,0.140881258106911,0.098497559741561,0,1.18499074039838e-17,1.76658556828069e-18,0.110920506092559,0,0,0.0293648185026977,0.130785938534333,0,0.157406652466557,0.1105287610372,0
"CD4+ Tcm",0.108533550790664,0,6.31385990875413e-18,0,0,2.60249452131282e-18,2.18975412667077e-17,1.54532353674831e-17,0.00654448273948689,0.00508797871994046,0,0.0507625575586141,0.107903000978941,0.0915477772367271,0.194750397762981,3.02377319253278e-19,0.132125056908026,0.0376605049459279,0,0.209465035584955,0.0527775587735073,0.158882019781424,0.0819720259914312,0.183746838394638,0.142854358771173,0.348195077795298,0.226408905708275,0.0946777473554586,0.0416418719872148,0.15912027040354,0.216031160691363,0.0806037135733363,0.124299932179126,0.108803921269443,0.0980023386017067,8.46334913152656e-19,0.161613168214603,0.264764640469786,0.325588328784837
"CD4+ Tem",0.146017788161611,0.084322269964317,6.05859070216797e-18,4.47595186017632e-18,1.96242921971196e-17,0.0141403375607098,0,0,0.000518188986243155,0,9.35890228081136e-18,0.0509620174968671,0.0580871912152776,0.012023208728463,0.149007501096385,6.32477120264328e-18,0.195027453341174,0.175393932722258,0.00299963045844163,0.241326190661516,0.0451434072883308,0.117310023568165,2.52204381685702e-19,1.26716236447446e-20,0.238290310511604,0.0240420004494631,0.311614956554112,0,0.14735832811447,0.186254629314133,0.15035993010047,0.0397958269872471,0.134212745922834,0.205691736868131,0.227261659572245,0,0,0.0979032988687489,0.157230426311801
"CD8+ naive T-cells",0.338814453673085,0.174516019816357,0.22505500517907,0.194917102123696,0.11881563315077,0.233962573632258,0.624589627726962,0.357291358130038,0.349666912615332,0.269624821639105,0.29655754470323,0.301501759674622,0,0.137134704889811,0.235604117926488,0.218465467116927,0.329116257143436,1.05072900560137e-18,0.278832695493151,0.186457005386402,0.379692334292626,0.344049624637501,0.333175550649129,0.246574869507864,0.208606789415243,0.158292115881809,0.121312080712032,0.364973229301912,0.287849546389156,0.287583086390075,0.508876422745678,0.521209580598346,0.421686140302233,0.204143130626986,0.343056615939041,0.275553463416559,0.258871127849673,0.232113216139984,0.209934531337025
"CD8+ T-cells",0.137101323619609,0.0265730822772168,0.0272722701684036,0.0216208362866766,0,0.0112316876553128,0.0823829294602107,0.115692074337242,0.111256770496197,0.094771914541352,0.11309941517691,0.197163252239693,0.0292385223303444,4.91908472006273e-20,1.33177923822432e-17,0,4.37730558955819e-17,2.58541999818557e-18,0.0325762898537673,0.0390779849191868,0.113552856960546,0.134905313043699,0.0312509974871449,0.0970433590869913,0.0263410126852145,0.225977053934199,0.0869766625378716,0.0646008560568458,8.35161675573432e-18,0.0949697597506463,0.0710859158411029,0.102748376013393,0.0287083974841855,0.1039499402512,0.0515705521019967,0.0489531890673458,0.104672713602858,0.0749009118748957,0.117881283572087
"CD8+ Tcm",9.58126390417396e-18,0,0,0,1.26326391938641e-18,3.47973629798617e-18,4.72699790117667e-17,1.7132700535804e-17,2.40088952923988e-18,0,9.87061214268311e-18,0.0447689542427888,2.04947178150512e-17,1.09565164259321e-17,0.143935636596449,0,0,0,3.13993301233989e-17,3.54316459194276e-19,2.35002494250159e-18,0.0236469749095711,0,0,8.74016807034735e-18,0.0573354074196691,0.0426480647879036,7.74151960307281e-19,0,0,0.0180652092698739,2.85177751377141e-19,0,0,0.0717367944161568,0.0534460420187784,0,0,0.0456898340013747
"CD8+ Tem",0.0262502506219929,3.63847032067065e-20,2.25010034833677e-17,1.16648422934313e-17,0,0,3.75705012554572e-18,2.01513159949194e-17,0,2.96486887274736e-20,0,0.0395978009622616,0.127284242511711,0,0.00394699077359379,5.05098415088248e-18,0.0707435476948171,0.117752614122828,0.0408343430345032,0.081738840652171,0.037738290191791,0.172332989762521,0.0439303029910555,0.0733389858731518,0.0263973581570176,0.299483114236371,0.18124512186531,0,0.134523663067141,0.115420055612156,0,0.0485098641770101,0.0741264690033215,0.106582016943258,0.0481404678273002,0.0654992933075684,0.0536782489971047,0.123946211035187,0.152061184295139
