"","patient_aki7","patient_aki1","patient_aki2","patient_aki3","patient_aki4","patient_aki5","patient_aki11","patient_aki12","patient_aki6","patient_aki9","patient_aki10","patient_aki8","patient_aki13","patient_aki14","patient_aki15","patient_aki16","patient_aki17","patient_aki18","patient_aki19","patient_aki20","patient_aki21","patient_aki22","patient_aki23","patient_aki24","patient_aki25","patient_aki26","patient_aki27","patient_aki28","patient_aki29","patient_aki30","patient_aki31","patient_aki32","patient_aki33","patient_aki34","patient_aki35","patient_aki36","patient_aki37","patient_aki38","patient_aki39"
"aDC",848.637804761427,1699.05022114718,390.40821814921,533.934262923385,581.915275664466,953.587786035767,42.3850449360907,330.647000868212,738.286272829236,1428.62037927135,1131.77791134196,2007.26841479776,888.677550623256,1640.14501122907,2036.30347348258,1353.72754311168,1500.30218296012,1453.88920741435,1223.6456723777,2106.34618129158,713.910495960887,1855.06864528493,2889.63465082499,1112.44275108525,1783.97799095158,929.675625479927,465.282346038226,489.750185471032,2067.06994096177,680.880608276873,1572.18592203728,1969.03151848365,1073.44519201375,1338.42601763496,839.181703431963,950.747876726965,2219.33952088194,1582.69726396382,931.459280005833
"Adipocytes",4903.29348801284,322.325885644583,1170.71110526508,1471.23847875216,2247.69425823798,358.70517032458,2915.36458633015,800.004715315946,864.351481112047,1316.48598511847,1181.41833159037,922.495109019935,1859.9482212417,1760.48364768596,1966.1330170224,1596.19087690631,1284.37440983981,4011.30313184594,1315.89441285028,2226.95618625238,545.981079681005,2507.21736350852,2423.59527591715,1319.27850901527,1176.79642721284,2153.21877210508,2216.63966312833,1255.7647601135,2017.80302710624,4448.58998406627,917.730224051687,1756.40856700349,1173.57969482244,489.236023577886,2570.95233772972,2669.79729223289,1398.57074885938,1817.02562305792,2829.403993927
"Astrocytes",1227.25860301819,1031.17286262822,867.413531975304,521.533282655659,372.993045065384,341.715111554027,573.781602364971,506.064271742508,334.975587958406,1390.27811494079,996.144451466304,1531.45442778731,531.179138070472,1257.79557969179,1249.72462901253,1804.99600794893,949.575073048396,1262.52370201906,1436.934714281,1506.82820045953,613.567014469234,1480.3646761171,1114.63649371693,356.032308814449,989.226754914739,1141.09046134317,1115.89813926294,710.020255984159,1357.15124014186,1781.10668922278,757.798363735751,1808.27682537676,1159.03635060648,244.221349856194,1005.33100701352,1032.03365497191,998.368367585042,1006.98863111843,1545.51427369279
"B-cells",532.255766115795,985.793316645324,250.438117750374,910.515575180921,358.193094426058,795.347706115894,314.188880211019,735.509710985717,696.090881895838,507.949069911111,573.955293007193,1079.61141454277,267.719490050043,501.883424354508,1478.10423162714,335.978768719178,966.860717576579,731.166688584863,861.407261300938,2158.77228354428,980.790590933052,1315.86871391525,2020.23744839852,1388.93985727336,1256.53767929216,1914.35274412162,1353.79497460978,1469.205231184,1989.21446276003,1944.18018570637,2123.46020575696,1015.96192411355,1191.68638275016,1878.00832991754,1489.58340064727,823.524378564592,1358.11757947501,734.779086284922,1842.95306295309
"Basophils",917.984524400704,963.846641651752,445.706877897231,466.866469329997,292.070053550175,860.09555783162,491.500194866522,394.062989521431,537.340083779781,340.508987768707,440.579778916369,444.893308201484,383.70909175563,1520.03218889565,1604.3505963944,717.462788552214,1009.12852144255,1314.48616971689,1108.60549060407,1879.59716427891,1159.98631953842,1381.03192748433,1584.31967353943,952.967661202177,1130.58656576576,1553.37873488843,1433.26410631139,1593.82663267176,1922.68434885609,1469.01650046175,1888.33584456973,1501.92970904395,1972.50989014696,1555.28248196233,1322.80694708971,1547.20014222423,752.775813467662,1521.2395831255,1909.2413188137
"CD4+ memory T-cells",1296.73069012527,1671.58878297785,1308.6357642721,1525.89998343545,1181.09224243027,1761.40420458535,1637.88479744732,1403.97655991929,1496.32848648866,1240.19327817389,1451.66629095999,1874.42732718014,1000.95069688679,1517.37646366461,2219.21849096413,1403.64755694196,1305.1385296896,1311.9485320973,1096.2366854354,707.735091887333,1913.32151528047,1668.29931727909,1277.15722286558,1192.398433028,1358.95393051124,1174.03672290772,1246.41249051167,1007.53074487535,1426.53779915519,1541.58595843893,2078.22093253277,1125.59358789953,531.587895563643,1027.80330538968,1476.95900590867,739.197099956057,1419.28181446656,1092.4057392747,877.299802270486
"CD4+ naive T-cells",1216.9322142262,948.17181597561,674.201970106837,904.516144306509,661.966259720711,910.577910817302,765.756552313543,903.175131602879,1064.09731431366,1001.67064123716,1099.295635489,1826.07117437019,860.549279507421,961.653563910549,1273.8859693169,918.408877905112,761.090883173401,882.01495057514,588.028885910328,1219.28590821561,1149.52052837048,1199.18642210741,1213.96029631086,1508.36014546459,1513.43935525478,1177.24001040222,965.455903721543,1410.36778778572,757.255142448609,1551.49325739465,1186.20044528791,899.31691893549,1205.10867811598,1061.73808838775,916.671492389488,657.54699533478,1747.32670350432,1006.08530073851,1337.46409510279
"CD4+ T-cells",884.847186670576,531.347309621715,683.440694491808,664.119964345451,657.171737379676,701.494501286064,766.873550795348,758.040948186175,804.746639352044,638.585469731094,725.913714260195,1235.33928694322,491.660261305102,738.647779353869,1082.43722434445,803.044840756825,283.24640506487,482.236925071465,197.483459630741,982.031050993437,927.708038946901,694.188857270841,763.845189270475,1001.67060218924,997.959109422974,1149.085719999,742.790309406683,744.140639986982,430.055411288507,661.98867292573,871.607384307962,698.212879404317,423.165633723106,430.463934044549,851.197092483023,352.188790745564,1040.82033968811,784.144193634928,561.51438100861
"CD4+ Tcm",1141.39585256841,564.14314049023,375.249026731466,399.423041904312,471.867286442379,338.650615988115,681.527557322393,541.493848834497,642.964065915376,619.690793594429,586.095379898129,1019.54706643363,821.646581797944,1078.95280956273,1454.72256144945,766.448296364683,1044.00887012068,1004.71682406737,640.375655889056,1662.61930980507,1156.2804341985,1330.70278120224,1299.91939718093,1241.54704472376,1282.92920598403,1857.17119077897,1574.37740803092,1285.41298034749,1192.20625673991,1491.6907765661,1403.65686535457,1103.21742047472,1051.62496471286,1018.74741468526,1162.6572948932,839.111498352823,1232.33605813079,1478.73312960663,1857.93721329208
"CD4+ Tem",1204.48525227629,848.281193052857,494.70667080959,526.031875212842,336.439421633415,622.313635913507,483.548217626967,414.001592641375,603.815815186434,452.044433751136,462.100908914155,978.25347758305,719.250900078547,908.319565106421,1379.01796714962,476.860917894158,1228.32322339775,1284.79636713051,761.793643578561,1861.42577255044,1139.15092472449,1287.8061617249,1091.65489589609,853.577317465339,1505.50959645907,1281.05497503279,1870.10656432463,918.105643481255,1555.51477569999,1592.46153281712,1371.59229823645,1015.12593899024,1111.50996658671,1251.40441253633,1408.40279479871,755.504772675895,838.645799626121,1206.81908945149,1623.44219545727
