"","patient_aki7","patient_aki1","patient_aki2","patient_aki3","patient_aki4","patient_aki5","patient_aki11","patient_aki12","patient_aki6","patient_aki9","patient_aki10","patient_aki8","patient_aki13","patient_aki14","patient_aki15","patient_aki16","patient_aki17","patient_aki18","patient_aki19","patient_aki20","patient_aki21","patient_aki22","patient_aki23","patient_aki24","patient_aki25","patient_aki26","patient_aki27","patient_aki28","patient_aki29","patient_aki30","patient_aki31","patient_aki32","patient_aki33","patient_aki34","patient_aki35","patient_aki36","patient_aki37","patient_aki38","patient_aki39"
"aDC",0.13250980828515,0.244448953964035,0.0648646514754502,0.0869995118409247,0.0941694563459989,0.147040085877752,0,0.0552632641411987,0.11692148557867,0.210076519235275,0.171156122533953,0.282615846551321,0.138084855339844,0.237038490949544,0.286162937398512,0.200386185641553,0.219278165825938,0.213328175163022,0.183353712828589,0.294688212313961,0.113429875327593,0.263890495461897,0.387408290403475,0.168569672674173,0.255064277111249,0.143752566485574,0.0765535777790636,0.0803037367542696,0.289913120641811,0.108668123111,0.228437940814531,0.277932599060308,0.16333152825877,0.198396268189073,0.131187174599028,0.146650328408611,0.308350862746883,0.229771881352555,0.14399824263036
"Adipocytes",0.492552446176474,0,0.125354162147879,0.16032763892922,0.2437634299066,0.00973236021608084,0.310378492652209,0.0786509989098502,0.087144998108556,0.142567749995102,0.126636483900082,0.0946573931127461,0.203101934299508,0.192373627611245,0.214411723286923,0.174338441822882,0.138819292826623,0.41317103295944,0.142498902866831,0.241630609258243,0.0424882288648038,0.270105192857666,0.261685413477885,0.14289263951066,0.126083325867565,0.234011145675588,0.240567971014884,0.135459719131825,0.219864932626161,0.452491269493717,0.094047086875771,0.191931161504333,0.125698008589274,0.033506569229971,0.276481768615506,0.286304224334274,0.152048222216036,0.19848883296587,0.302002358636942
"Astrocytes",0.221792438761518,0.181522882360859,0.147122717509391,0.0709560529315637,0.0355602302739222,0.0276780732827227,0.0828900106623664,0.0673814215018527,0.025948905599183,0.254658155144286,0.174229992169169,0.282743450006895,0.0731749610317813,0.227987691320824,0.226352107526838,0.336322080868755,0.164481528614895,0.228945246634314,0.263976042550003,0.277867391717789,0.0918499695923769,0.272616986901992,0.19877289744101,0.0313131573878225,0.172785782897892,0.204205300275466,0.199032349241054,0.113194641400709,0.248019469323718,0.33168258260361,0.123599482794682,0.336958688393017,0.207881454523779,0,0.17614583286456,0.181701686707067,0.174693998577949,0.176491281981412,0.285523168775436
"B-cells",0.0626435352038988,0.152383544498716,0,0.137868956661086,0.0256972032303966,0.115421545702123,0.0157981974028059,0.103624746402878,0.0957958440953481,0.0576194439006013,0.0711904721784557,0.170322418861068,0.00471158483401621,0.0563604049490534,0.245041842015307,0.0207469842945514,0.148743762939851,0.102764537420482,0.128335488041759,0.368809111892605,0.151422446827247,0.214875853790119,0.343926246802376,0.228501438523593,0.203762178489396,0.324812037862414,0.221956214917116,0.243395089830814,0.338334897821379,0.330205227534804,0.362479488338468,0.158169366283263,0.191559367783882,0.318230916371551,0.24716476386123,0.120943038373738,0.222762050292278,0.103480073382919,0.311873038701149
"Basophils",0.433152234897766,0.464460752367397,0.10829152850694,0.12299833152609,0,0.393590230897405,0.140090623641276,0.072276135636084,0.171825760443621,0.0346614132028171,0.104724122417821,0.107725556602549,0.0650298901465205,0.842335375192144,0.899393537808522,0.295874798971468,0.495345733901427,0.703019947817143,0.56310764200393,1.08533378138276,0.598064180517224,0.748160345738668,0.885843095546283,0.457036641308638,0.578065709077733,0.864906875356339,0.783565952010549,0.892274666701029,1.11440075604844,0.80778845799978,1.0912297928058,0.830078886235672,1.14800098312107,0.866195240071186,0.70866628380698,0.860725324855542,0.320102342454591,0.843152770727541,1.10533306578587
"CD4+ memory T-cells",0.34041626621197,0.473285740865547,0.344787880638768,0.422713205727391,0.29730253538826,0.503898578413998,0.461691286938399,0.379395377059151,0.412295934339431,0.319490195988462,0.396456599473247,0.541877083029135,0.227303550770471,0.419716175253217,0.654531098880836,0.379277121610418,0.34350488865476,0.34600227545164,0.26481735448572,0.101119517054367,0.55481623760869,0.472156783521864,0.333202977150625,0.301573302941366,0.3631391940612,0.294630873202468,0.32180590427781,0.229933976208278,0.387486414258164,0.428217079717752,0.608997336001322,0.276146018712292,0,0.237998899621462,0.405442575423044,0.115829877733321,0.384888136394898,0.263331571245303,0.17654531391413
"CD4+ naive T-cells",0.230614111988157,0.137001878632186,0.0360197147721156,0.121424085442313,0.0312186442013886,0.123595182366945,0.0708292657816113,0.120943416754609,0.177802133016758,0.155924183110718,0.190052836945986,0.434169553555588,0.105590991137179,0.141786775901687,0.25006639180358,0.126395971101066,0.0690908478604999,0.113340569929381,0,0.231420236529143,0.207438399024825,0.224529840699574,0.229595965815632,0.329118704614187,0.330815108931495,0.21698920243072,0.143134216550548,0.296264912464114,0.0676593485250982,0.343505457043512,0.220070144039523,0.119559736477629,0.226561605977371,0.176978920895572,0.125774966698608,0.0294721123147244,0.408318531441927,0.15747813589811,0.271656099630171
"CD4+ T-cells",0.255960582696131,0.14564774300873,0.195251769865801,0.189163771840102,0.186960945449337,0.200892748614074,0.22096455713427,0.21828367098938,0.232358743724133,0.181032146499436,0.208452759952534,0.3530984987202,0.131944336454195,0.212364626797027,0.311782926313165,0.231850164911697,0.0503995658641831,0.128632538898498,0,0.283802346480814,0.2683393284316,0.198615498477871,0.220046417826264,0.28933433812577,0.288291189907942,0.329970006753058,0.213632832774696,0.214045769855179,0.109827282824626,0.188488848644496,0.252102907746004,0.199870732146476,0.107278589005865,0.10997788113436,0.246123218431738,0.0798858167575694,0.300274596373591,0.226180430742769,0.155825016215906
"CD4+ Tcm",0.328523679727299,0.0987229609250023,0.0176482506638993,0.0285262652058357,0.0599774788112138,0,0.146809689695466,0.0893077026496081,0.131126514751352,0.121611177099561,0.107800504157563,0.281104935701546,0.203073966995455,0.304275099300641,0.448825764285765,0.18102946951302,0.290658330588586,0.275304238931075,0.130070202718025,0.52762090088731,0.334288746771392,0.401456035260215,0.389650844572356,0.367209714171175,0.383126670240424,0.600760776534238,0.494263106148628,0.384080817566532,0.348180708708901,0.462890368564961,0.429356819102699,0.313710233251919,0.293629125084989,0.280792332645563,0.336756908414868,0.210020314158754,0.363661646874259,0.457963382123064,0.601047727689461
"CD4+ Tem",0.340165290634834,0.207966203591409,0.0696875515577494,0.0824544964947429,0,0.120880061927245,0.0650994299695857,0.0358612197236648,0.11357747650274,0.0520094689310042,0.0562117674716768,0.25676541837608,0.158664857047608,0.230602197461646,0.403466488654211,0.0623384176910143,0.348858985437641,0.369392060422838,0.175030009960471,0.574982654661642,0.316252511173243,0.370483997996718,0.298785354142965,0.209970003060124,0.448883510555727,0.368034372161212,0.578030942757777,0.234275921120622,0.46674317963271,0.479906638191553,0.400788968168399,0.270480035234077,0.30609615113143,0.357261527407949,0.414049250850382,0.172618173906149,0.204316979007808,0.341017154741353,0.490924029870699
